column_name,column_type,dataset_count,example_datasets,definition,data_steward,status
Month,DATE,34,Booked and Pipeline History | Formula Test | formula test,Calendar month associated with the record,,draft
Spend Rate,STRING,33, TEMP - Vistar Diagnostic Insights - Q3 2024 | Ad Ops - Lease Rate - Vistar Insights | Ad Ops Monitoring - Vistar Diagnostics Insights,[Vistar] Ratio of spent spots to leased spots,,confluence
Expiration Rate,STRING,33, TEMP - Vistar Diagnostic Insights - Q3 2024 | Ad Ops - Lease Rate - Vistar Insights | Ad Ops Monitoring - Vistar Diagnostics Insights,[Vistar] Ratio of expired spots to total booked spots,,confluence
R - Finance - Credit Cards,STRING,33,# Sites with RPA Creatives | Assembler Sites with Duplicate Partition Keys | Campaign Management - Sites,[Vistar] Retailer advertising restriction flag for Finance — Credit Cards. Indicates whether the site allows this ad category,,draft
Retailer - # of Contacts with Email,DOUBLE,33,# Sites with RPA Creatives | Active Wayne IOTV without IOTV ID - Stage 1 | After join check,[Vistar] Count of retailer contacts that have an email address on file,,draft
R - Retail - Car Wash,STRING,33,# Sites with RPA Creatives | Assembler Sites with Duplicate Partition Keys | Campaign Management - Sites,[Vistar] Retailer advertising restriction flag for Retail — Car Wash. Indicates whether the site allows this ad category,,draft
Companion Key 1,STRING,33,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,First companion targeting key used in RPA slot assignment to pair related creatives,,draft
Companion Value 1,STRING,33,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Value for the first companion targeting key in RPA slot assignment,,draft
SALESFORCE_ID,STRING,33,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Reporting - Campaign Validated Impressions - Filterable by IO | Campaign Validated Impressions - Base Data Set,[SF: Site/Location] Salesforce record identifier (API name format),,draft
BRAND_FUEL,STRING,33,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,[SF: Site__c] Brand — Fuel (Brand_Fuel__c),Salesforce,salesforce
StoreNumber,LONG,33,PROD - Speedway - Transactions - Daily File Load | Speedway - Txn Patch - 21 September 2025 | Speedway - Txn Patch - Mar 27 2026,Retailer-assigned store number,,draft
DayID,DATE,33,PROD - Speedway - Transactions - Daily File Load | Speedway - Txn Patch - 21 September 2025 | Speedway - Txn Patch - Mar 27 2026,"Date identifier for the transaction day, typically in YYYYMMDD format",,draft
TransTime,STRING,33,PROD - Speedway - Transactions - Daily File Load | Speedway - Txn Patch - 21 September 2025 | Speedway - Txn Patch - Mar 27 2026,Timestamp of the fuel dispenser transaction,,draft
TransactionCount,LONG,33,PROD - Speedway - Transactions - Daily File Load | Speedway - Txn Patch - 21 September 2025 | Speedway - Txn Patch - Mar 27 2026,Count of transactions at the site for the period,,draft
Companion Key 2,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Second companion targeting key for RPA creative pairing,,draft
Companion Value 2,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Value for the second companion targeting key,,draft
Companion Key 3,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Third companion targeting key for RPA creative pairing,,draft
Companion Value 3,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Value for the third companion targeting key,,draft
Companion Key 4,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Fourth companion targeting key for RPA creative pairing,,draft
Companion Value 4,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Value for the fourth companion targeting key,,draft
Companion Key 5,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Fifth companion targeting key for RPA creative pairing,,draft
Companion Value 5,STRING,32,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Value for the fifth companion targeting key,,draft
Total Impressions,DOUBLE,32,All GSTV - Programmatic Perfomance - 2023/2024/2025 | Data Check: State after Rev Calc | Data Quality - Revenue Share - State/City - Post Revenue Per Site Calculation DX,Total number of ad impressions delivered,,draft
Store,STRING,31,4 digit sites | 5 digit sites | All Networks - Transactions - Patch - Input,Retail store name or identifier,,draft
WEEKENDING,DATE,31,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Week-ending date representing the 7-day period for the metrics,,draft
WEEKENDINGPW,DATE,31,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Week-ending date for the prior week (PW = Prior Week),,draft
WEEKENDINGPY,DATE,31,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Week-ending date for the prior year (PY = Prior Year),,draft
SELLABLE,STRING,31,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,[Gilbarco CC] Whether the site's ad inventory is sellable (available for ad sales),,draft
UNSELLABLE,STRING,31,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,"[Gilbarco CC] Whether The site's ad inventory is currently unsellable (e.g., due to technical issues or contractual restrictions)",,draft
SCHEDULABLE,STRING,31,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,[Gilbarco CC] Whether the site can be scheduled for ad campaigns,,draft
COUNTY_DESIGNATION,STRING,31,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Reporting - Campaign Validated Impressions - Filterable by IO | Campaign Validated Impressions - Base Data Set,"[SF: Account/Site__c] Values = A, B, C",Salesforce,salesforce
DSP,STRING,30,2024 YTD PX Revenue.csv | 2025 YTD PX Revenue - Patch | 2026 YTD Exchange Revenue - PX.csv,Demand-Side Platform used by advertisers for programmatic buying,,confluence
CAMPAIGN,STRING,30,[V-RAP-AND-DE] Development - Traffic Instructions | [V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set,Advertising campaign name or identifier,,draft
PARTITION_KEY,STRING,30,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Data partitioning key used for data pipeline processing,,draft
STATE_FIPS,STRING,30,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Federal Information Processing Standards (FIPS) code for the state,,draft
ZIP_4,STRING,30,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,4-digit ZIP+4 postal code suffix for precise geographic targeting,,draft
COUNTY_FIPS,STRING,30,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Federal Information Processing Standards (FIPS) code for the county,,draft
Purchased Impressions,DOUBLE,29,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] Total impressions purchased (excludes tags),Salesforce,salesforce
DAYOFWEEK,DOUBLE,29,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,"Day of the week (1=Monday through 7=Sunday, or 0=Sunday through 6=Saturday)",,draft
Total Sites,LONG,29,Check | Check impression totals | Check Ratios,[SF: Account] Total Sites (Total_Sites__c),Salesforce,salesforce
Purchased CPM,DOUBLE,28,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] CPM of purchased media or content,Salesforce,salesforce
ISHOLIDAY,DOUBLE,28,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Whether The date falls on a recognized holiday,,draft
ISWEEKDAY,DOUBLE,28,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Whether The date falls on a weekday (Monday-Friday),,draft
People 21+,DOUBLE,28,Market Plan - Site List - Assembled | Market Plan - Site List-Snapshot | Market Plan Comparison,Estimated population aged 21 and older in the site's market area,,draft
dt,DATE,27, TEMP - Analysis - Transactions - MoM By Site | Dataflow Output - Appending Dataflow Output to View - Gilbarco Transactions - Writeback to Snowflake | Dataflow Output - Monitoring - Gilbarco Transactions Writeback to Snowflake,"Date field, typically in YYYY-MM-DD format",,draft
Bonus Impressions,DOUBLE,27,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] Bonused media or content impressions,Salesforce,salesforce
Ad Exchange,STRING,27,[DNU] Daily Programmatic Exchange Revenue V2 | adhoc.csv | All GSTV - Vistar - SSP Revenue - Full Granularity,[Vistar] Programmatic ad exchange through which the impression was transacted,,draft
OPP/IO Rev Amount,DOUBLE,27,Data Quality - Salesforce and CVI Reconciliation - Previous Month | Data Quality - Salesforce and Vistar Reconciliation - Previous Month | Formula Test,Monetary amount for OPP/IO Rev,,draft
SSP,STRING,27,"DSP Revenue - DXPromote (Dover)_CB | Exchange Revenue by CPM Floor | Gilbarco ICS Revenue - by Day, Site","Supply-Side Platform used for programmatic ad sales (e.g., Vistar)",,confluence
Net Effective CPM,DOUBLE,26,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] CPM based on media and bonused impressions and products,Salesforce,salesforce
Planning Agency,STRING,26,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Accounts,[SF: Account/Opportunity] This is the account that is set as the Planning Agency for this Advertiser,Salesforce,salesforce
Top Level Category,STRING,26,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Accounts,[SF: Account/Opportunity] This is the top level category in the hierarchy based on the category listed on this account,Salesforce,salesforce
ADVERTISER,STRING,26,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,[Hivestack] Name of the advertiser or brand purchasing ad inventory,,draft
Type,STRING,26,Booked and Pipeline History | DEV - Jira issues | DEV - Worklogs by Issue,"[SF: Opportunity] New = Advertiser has (a) never run on GSTV or (b) has not run on GSTV in the past 2 years
Renewal = Advertiser has run on GSTV in the past 2 years",Salesforce,salesforce
Location Name,STRING,26,Caseys Deployment for DOMO 091125.xlsx | Gilbarco - Live - Transactions - Hourly - Input | Gilbarco - Txn Patch - 092725,Display name of the Location,,draft
_id,STRING,26,Cat Facts | Gbase Sites | Gbase Sites - Configuration Volumes,[SF] Contact ID,Salesforce,salesforce
Table Name,STRING,26,Dataflow Output - Appending Dataflow Output to View - Gilbarco Transactions - Writeback to Snowflake | Dataflow Output - Monitoring - Gilbarco Transactions Writeback to Snowflake | Monitoring - OPP/IO Rev - Snowflake Writeback,Display name of the Table,,draft
Hour,STRING,26,Gilbarco - Live - Transactions - Hourly - Input | Gilbarco - Txn Patch - 092725 | Gilbarco - TxnPatch - Nov 15,Hour of the day (0-23),,draft
21+ Impressions,DOUBLE,26,Market Plan - Site List - Assembled | Market Plan Comparison | Market Plan Inputs - 2022 April.xlsx,Estimated ad impressions reaching the 21+ age demographic,,draft
Stage,STRING,25,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Booked and Pipeline History,[SF: Opportunity] Salesforce opportunity pipeline stage,,draft
Sales Planner,STRING,25,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Campaign Impact Analysis,[SF: Account/Opportunity/User] Sales Planner listed on the Opportunity Owner's User record,Salesforce,salesforce
Unique Count GTVID,LONG,25,Active Site Counts by Network by Date | Active Sites by Network/Program Monthly | Circle K Weekly Temp Site Counts,Distinct count of GSTV site IDs (GTVIDs) in the grouped data,,draft
_id_$oid,STRING,25,Brands | Media Distribution Verified Assets | Mongo Sites,MongoDB ObjectId (hex string) from the source Mongo database,,draft
COUNTY_DESIGANTION,STRING,25,Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range | Campaign Validated Impressions - FY23 And Beyond,County designation classification (A/B/C). Note: misspelling of 'Designation',,draft
COUNTY_DESIGATION,STRING,25,Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range | Campaign Validated Impressions - FY23 And Beyond,County designation classification (A/B/C). Note: misspelling of 'Designation',,draft
Contributed Impressions,DOUBLE,25,Data Check: State after Rev Calc | Data Quality - Revenue Share - State/City - Post Revenue Per Site Calculation DX | Revenue Share - Unified - Casey's,Impressions attributed to the site for revenue share calculation,,draft
status,STRING,25,Gilbarco - Place Exchange - Cleaned | Inventory - Place Exchange Sites to Set to Inactive | Place Exchange Inventorty - Gilbarco,"[PlaceExchange] Current operational status of the record (e.g., Active, Inactive, Pending)",,draft
Average Daily Imp - Programmatic - 13+,DOUBLE,24,# Sites with RPA Creatives | Assembler Sites with Duplicate Partition Keys | Campaign Management - Sites,"[SF: Site__c] Average daily programmatic impressions for the 13+ demographic, used in OMS planning",Salesforce,salesforce
Average Daily Imp - Programmatic - 18+,DOUBLE,24,# Sites with RPA Creatives | Assembler Sites with Duplicate Partition Keys | Campaign Management - Sites,"[SF: Site__c] Average daily programmatic impressions for the 18+ demographic, used in OMS planning",Salesforce,salesforce
Average Daily Impressions - 13+,DOUBLE,24,# Sites with RPA Creatives | Assembler Sites with Duplicate Partition Keys | Campaign Management - Sites,"[SF: Site__c] Average daily total impressions for the 13+ demographic, used in OMS planning",Salesforce,salesforce
Average Daily Impressions - 18+,DOUBLE,24,# Sites with RPA Creatives | Assembler Sites with Duplicate Partition Keys | Campaign Management - Sites,"[SF: Site__c] Average daily total impressions for the 18+ demographic, used in OMS planning",Salesforce,salesforce
Daypart,STRING,24,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,"Time-of-day segment for ad scheduling (e.g., Morning, Afternoon, Evening)",,draft
Close Date,DATE,24,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Booked and Pipeline History,[SF: Opportunity] Expected or actual close date of the Salesforce opportunity,,draft
DMA Name,STRING,24,"Campaign Delivery Reporting - DMA Averages, NVI, and CVI | Caseys Deployment for DOMO 091125.xlsx | DMA - GTVID Creation - Salesforce Input",[GBase] Display name of the DMA,,draft
upload_date,DATE,24,DEV_AssembleTransactions_Speedway | Dover - Transactions - Live - Hourly - Matched | Dover - Transactions - Live - Hourly - Matched,Date when the data file was uploaded,,draft
Grouping,LONG,23,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,Grouping classification for RPA creative rotation assignment,,draft
Programmatic Vendor,STRING,23,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Booked and Pipeline History,[SF: Opportunity] Must choose programmatic vendor if the buy type is Programmatic,Salesforce,salesforce
Buying Agency,STRING,23,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Accounts,[SF: Account/Opportunity/Site__c] This is the account that is set as the Buying Agency for this Advertiser,Salesforce,salesforce
GTV Number,STRING,23,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,GSTV-assigned unique site identifier (GTV Number / GTVID),,draft
CVI_TOTAL,DOUBLE,23,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,Total Campaign Validated Impressions across all hours for the record. Sum of CVI_HOUR_00 through CVI_HOUR_23,,draft
gtvNumber,STRING,23,Active Sites No POP 5 Days (not most recent 2) Stage 2 | Data Quality - Sites not matched | FP6 Shared Resource Static Upload,GSTV-assigned unique site identifier (GTV Number / GTVID),,draft
Import_Type,STRING,23,Admin - Dataset Reference | Average Health Score | Average Health Score,"[DomoStats] Domo dataset import method (e.g., API, Connector, Upload, DataFlow)",,draft
HAS_NVI,STRING,23,Dover DXPromote Hourly Pop By Day and Terminal With Site Information | Finance - Network Validated Impressions - Modified - includes Hardware Type | Gilbarco Applause Sites Health Dashboard,[Gilbarco CC] Whether NVI (Network Validated Impressions) data exists for this record,,draft
Geocode Accuracy,STRING,22,# Sites with RPA Creatives | Advertisers | Agencies,[SF: User] Geocode accuracy,Salesforce,salesforce
Budget Source,STRING,22,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Booked and Pipeline History,[SF: Opportunity] Must choose the budget source for the opportunity,Salesforce,salesforce
Programmatic Type,STRING,22,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Booked and Pipeline History,Classification or category type for Programmatic,,draft
Scatter/Upfront,STRING,22,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Booked and Pipeline History,"[SF: Opportunity] Must choose if this opportunity is classified as Scatter or Upfront, please refer to your manager if you are not sure",Salesforce,salesforce
RPA 1A - Daypart,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Daypart targeting for rotation 1, slot A in the RPA (Rotation/Play Assignment). Defines when this creative plays",,draft
RPA 1A - Video File,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Video creative filename for rotation 1, slot A in the RPA",,draft
RPA 1B - Daypart,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Daypart targeting for rotation 1, slot B in the RPA (Rotation/Play Assignment). Defines when this creative plays",,draft
RPA 1B - Video File,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Video creative filename for rotation 1, slot B in the RPA",,draft
RPA 1C - Daypart,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Daypart targeting for rotation 1, slot C in the RPA (Rotation/Play Assignment). Defines when this creative plays",,draft
RPA 1C - Video File,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Video creative filename for rotation 1, slot C in the RPA",,draft
RPA 2A - Daypart,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Daypart targeting for rotation 2, slot A in the RPA (Rotation/Play Assignment). Defines when this creative plays",,draft
RPA 2A - Video File,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Video creative filename for rotation 2, slot A in the RPA",,draft
RPA 2B - Daypart,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Daypart targeting for rotation 2, slot B in the RPA (Rotation/Play Assignment). Defines when this creative plays",,draft
RPA 2B - Video File,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Video creative filename for rotation 2, slot B in the RPA",,draft
RPA 2C - Daypart,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Daypart targeting for rotation 2, slot C in the RPA (Rotation/Play Assignment). Defines when this creative plays",,draft
RPA 2C - Video File,STRING,22,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Video creative filename for rotation 2, slot C in the RPA",,draft
OPP_IO_NAME,STRING,22,[V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Campaign Validated Impressions - Base Data Set | Campaign Validated Impressions - Base Data Set - Filterable on Date Range,"[SF: Site/Location] Opportunity/Insertion Order name from Salesforce, identifying the campaign or deal",,draft
Quarter,STRING,22,Booked and Pipeline History | Formula Test | formula test,"Fiscal or calendar quarter (Q1, Q2, Q3, Q4)",,draft
Transactions,LONG,22,Campaign Tracking - Unvalidated Transactions - Daily | hackathon_sites_rev_merge | KRYTPON - Wayne Txns Upload for Test,[GBase] Number of fuel transactions at the site,,draft
Rows Written,LONG,22,Dataflow Output - Appending Dataflow Output to View - Gilbarco Transactions - Writeback to Snowflake | Dataflow Output - Monitoring - Gilbarco Transactions Writeback to Snowflake | Monitoring - Snowflake Writeback - Site Status History,Number of rows written by the dataflow output step,,draft
Year,STRING,21, Project Krypton - Transaction Comparison To Retailer Data | Booked and Pipeline History | Formula Test,Calendar year associated with the record,,draft
PTD Fixed Fee Met,STRING,21,# Sites with RPA Creatives | Assembler Sites with Duplicate Partition Keys | Campaign Management - Sites,[SF: Site__c] PTD Fixed Fee Met (PTD_Fixed_Fee_Met__c),Salesforce,salesforce
Buying Agency ID 18,STRING,21,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Booked and Pipeline History,[SF: Opportunity] Unique identifier for the buying agency attached to this opportunity,Salesforce,salesforce
Net Impressions,DOUBLE,21,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] Total impressions purchased and bonused (excludes tags),Salesforce,salesforce
Client AE,STRING,21,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] AE that owns the advertiser attached to this opportunity,Salesforce,salesforce
Buying Agency AE,STRING,21,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] Account owner from the Buying Agency Account,Salesforce,salesforce
Planning Agency AE,STRING,21,[DEV] - Ad Ops - Programmatic Campaign Tracking | [DEV] Ad Ops - Programmatic Opportunity Tracking | Combined for POP ,[SF: Opportunity] Account owner from the Planning Agency Account,Salesforce,salesforce
RPA 1A - Coupon File,STRING,21,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Coupon creative filename for rotation 1, slot A in the RPA",,draft
RPA 1B - Coupon File,STRING,21,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Coupon creative filename for rotation 1, slot B in the RPA",,draft
RPA 1C - Coupon File,STRING,21,[DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,"Coupon creative filename for rotation 1, slot C in the RPA",,draft
